number,date,player1,player2,player3,note,url,id,season
2236,1994-05-02,Brooke Gallagher,Brian Johnson,John Sweeney,1994 College Championship quarterfinal game 1.,http://www.j-archive.com/showgame.php?game_id=3094,3094,10
2230,1994-04-22,John Hunt,Ken Frier,Jeff Jaech,,http://www.j-archive.com/showgame.php?game_id=5317,5317,10
2207,1994-03-22,Walter Kramer,Tom Lakeman,Ginny Weeks,,http://www.j-archive.com/showgame.php?game_id=1896,1896,10
2185,1994-02-18,Matt Morris,Paul Loeffler,Peter Steffen,1994 Teen Tournament final game 2.,http://www.j-archive.com/showgame.php?game_id=5163,5163,10
2174,1994-02-03,Tom Nichols,Jim Proulx,Lois Murray,Tom Nichols game 4.,http://www.j-archive.com/showgame.php?game_id=4192,4192,10
2173,1994-02-02,Tom Nichols,Judy Paullus,Geoff Berman,Tom Nichols game 3.,http://www.j-archive.com/showgame.php?game_id=6100,6100,10
2167,1994-01-25,Barry Rubinowitz,Andrew Zarutskie,Rosemary Finch,,http://www.j-archive.com/showgame.php?game_id=5094,5094,10
2166,1994-01-24,Barry Rubinowitz,Bob Kitson,Ann Hefenieder,,http://www.j-archive.com/showgame.php?game_id=5086,5086,10
2165,1994-01-21,Barry Rubinowitz,David Muir,John Ebbe,,http://www.j-archive.com/showgame.php?game_id=5084,5084,10
2164,1994-01-20,Kevin Foley,Barry Rubinowitz,Jane Walton,,http://www.j-archive.com/showgame.php?game_id=5082,5082,10
2157,1994-01-11,Graydon Hazenberg,Jon Olson,Steve Ashworth,,http://www.j-archive.com/showgame.php?game_id=5080,5080,10
2156,1994-01-10,Graydon Hazenberg,Blaise Messinger,Joanne Bollhofer,,http://www.j-archive.com/showgame.php?game_id=5077,5077,10
2155,1994-01-07,Kurt Bray,Gillian Bagwell,Donald Vanderweit,Kurt Bray game 5.,http://www.j-archive.com/showgame.php?game_id=4693,4693,10
2150,1993-12-31,Mickie Grover,Jeff Frankel,Bob Aumann,,http://www.j-archive.com/showgame.php?game_id=727,727,10
2143,1993-12-22,Jean Grewe,Dave Dixon,Philip Glotzbach,Jean Grewe game 3.,http://www.j-archive.com/showgame.php?game_id=3625,3625,10
2130,1993-12-03,Frank Spangenberg,Tom Nosek,Leslie Frates,1993 10th Anniversary Tournament final game 2.,http://www.j-archive.com/showgame.php?game_id=156,156,10
2129,1993-12-02,Frank Spangenberg,Tom Nosek,Leslie Frates,1993 10th Anniversary Tournament final game 1.,http://www.j-archive.com/showgame.php?game_id=154,154,10
2128,1993-12-01,Robert Slaven,Frank Spangenberg,Lionel Goldbart,1993 10th Anniversary Tournament semifinal game 3.,http://www.j-archive.com/showgame.php?game_id=152,152,10
2127,1993-11-30,Tom Nosek,Mark McDermott,Doug Molitor,1993 10th Anniversary Tournament semifinal game 2.,http://www.j-archive.com/showgame.php?game_id=150,150,10
2126,1993-11-29,Leslie Frates,Roy Holliday,Steve Rogitz,1993 10th Anniversary Tournament semifinal game 1.,http://www.j-archive.com/showgame.php?game_id=148,148,10
2125,1993-11-26,Marilyn Kneeland,Bev Schwartzberg,Tom Nosek,1993 Tournament of Champions final game 2.,http://www.j-archive.com/showgame.php?game_id=1430,1430,10
2124,1993-11-25,Marilyn Kneeland,Bev Schwartzberg,Tom Nosek,1993 Tournament of Champions final game 1.,http://www.j-archive.com/showgame.php?game_id=1429,1429,10
2123,1993-11-24,Walt Senterfitt,Jack Mahoney,Bev Schwartzberg,1993 Tournament of Champions semifinal game 3.,http://www.j-archive.com/showgame.php?game_id=1428,1428,10
